2023-03-21 18:14:55.082 [info] Extension host with pid 26588 started
2023-03-21 18:14:55.082 [info] Skipping acquiring lock for /home/ural/.config/VSCodium/User/workspaceStorage/e8c9185a0b273eb920ee9541ae0bb197.
2023-03-21 18:14:55.226 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2023-03-21 18:14:55.226 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
2023-03-21 18:14:55.227 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2023-03-21 18:14:55.228 [info] ExtensionService#_doActivateExtension alefragnani.project-manager, startup: true, activationEvent: '*'
2023-03-21 18:14:55.228 [info] ExtensionService#_doActivateExtension Shan.code-settings-sync, startup: true, activationEvent: '*'
2023-03-21 18:14:55.228 [info] ExtensionService#_doActivateExtension vscodevim.vim, startup: true, activationEvent: '*'
2023-03-21 18:14:56.295 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2023-03-21 18:14:56.295 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-03-21 18:14:57.197 [info] Eager extensions activated
2023-03-21 18:14:57.226 [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
2023-03-21 18:14:57.319 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-03-21 18:14:57.319 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-03-21 18:14:57.320 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
2023-03-21 18:14:57.320 [info] ExtensionService#_doActivateExtension ritwickdey.LiveServer, startup: false, activationEvent: 'onStartupFinished'
2023-03-21 18:14:57.320 [info] ExtensionService#_doActivateExtension zokugun.cron-tasks, startup: false, activationEvent: 'onStartupFinished'
2023-03-21 18:14:58.127 [info] ExtensionService#_doActivateExtension zokugun.sync-settings, startup: false, activationEvent: 'onStartupFinished'
2023-03-21 18:14:59.246 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2023-03-21 18:17:26.785 [info] ExtensionService#_doActivateExtension patbenatar.advanced-new-file, startup: false, activationEvent: 'onCommand:extension.advancedNewFile'
2023-03-21 18:17:32.467 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2023-03-21 18:17:32.467 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2023-03-21 18:17:32.468 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2023-03-21 18:17:32.468 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onLanguage:json'
2023-03-21 18:22:12.563 [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
